Borehole,Longitude,Latitude,link,Data Contact,Country,Geothermal Gradient,Intercept
CA-0001,-93.94,51.13,http://geothermal.earth.lsa.umich.edu/DATA/CA-0001.html,J-C Mareschal,CA,8.528744058974315,3.9098646994470236
CA-0002,-93.86,51.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-0002.html,J-C Mareschal,CA,9.473555975511141,2.824202914060278
CA-0003,-93.17,50.96,http://geothermal.earth.lsa.umich.edu/DATA/CA-0003.html,J-C Mareschal,CA,10.100749657068667,3.2976162126109614
CA-0004,-93.14,50.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-0004.html,J-C Mareschal,CA,10.481880890312487,3.3635065754702227
CA-0005,-92.89,51.12,http://geothermal.earth.lsa.umich.edu/DATA/CA-0005.html,J-C Mareschal,CA,8.589055956982149,3.4976439591456145
CA-0006,-91.11,49.97,http://geothermal.earth.lsa.umich.edu/DATA/CA-0006.html,J-C Mareschal,CA,8.64952828563268,3.9049657911511866
CA-0007,-91.12,49.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-0007.html,J-C Mareschal,CA,10.115339912273356,2.7041236628744514
CA-0008,-89.65,49.21,http://geothermal.earth.lsa.umich.edu/DATA/CA-0008.html,J-C Mareschal,CA,10.717101830239294,3.449499655329623
CA-0009,-89.65,49.22,http://geothermal.earth.lsa.umich.edu/DATA/CA-0009.html,J-C Mareschal,CA,10.441014022641662,3.4407600407315346
CA-001-0,-75.72,45.4,http://geothermal.earth.lsa.umich.edu/DATA/CA-001-0.html,A.M. Jessop,CA,13.903265265604443,7.694266537436555
CA-0010,-89.49,48.29,http://geothermal.earth.lsa.umich.edu/DATA/CA-0010.html,J-C Mareschal,CA,8.670175438596486,5.802105263157892
CA-0011,-89.63,48.31,http://geothermal.earth.lsa.umich.edu/DATA/CA-0011.html,J-C Mareschal,CA,14.275339688801234,4.44529695375849
CA-0012,-85.9,49.17,http://geothermal.earth.lsa.umich.edu/DATA/CA-0012.html,J-C Mareschal,CA,9.828950095299678,3.6377796316003965
CA-0013,-85.9,49.23,http://geothermal.earth.lsa.umich.edu/DATA/CA-0013.html,J-C Mareschal,CA,10.42627968459891,3.4365266577985727
CA-0015,-98.26,55.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-0015.html,J-C Mareschal,CA,12.727103260612198,1.5772695399228427
CA-0016,-97.64,56.01,http://geothermal.earth.lsa.umich.edu/DATA/CA-0016.html,J-C Mareschal,CA,15.650088349223406,0.7558884413325602
CA-0017,-97.95,55.71,http://geothermal.earth.lsa.umich.edu/DATA/CA-0017.html,J-C Mareschal,CA,15.603947836091685,0.69106414844065
CA-0018,-101.11,56.94,http://geothermal.earth.lsa.umich.edu/DATA/CA-0018.html,J-C Mareschal,CA,9.108388172159549,0.867541709066677
CA-0019,-101.22,56.96,http://geothermal.earth.lsa.umich.edu/DATA/CA-0019.html,J-C Mareschal,CA,6.722900978771212,1.8477747092036667
CA-002-0,-63.59,44.64,http://geothermal.earth.lsa.umich.edu/DATA/CA-002-0.html,K. Wang,CA,11.839864764089981,7.606296532778827
CA-0020,-98.16,55.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-0020.html,J-C Mareschal,CA,10.815017672661034,1.8496461514282854
CA-0021,-98.27,55.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-0021.html,J-C Mareschal,CA,11.74382270905884,1.7420221997681011
CA-0022,-98.26,55.57,http://geothermal.earth.lsa.umich.edu/DATA/CA-0022.html,J-C Mareschal,CA,13.934695229265419,1.5368090077343528
CA-005-0,-74.02,45.82,http://geothermal.earth.lsa.umich.edu/DATA/CA-005-0.html,K. Wang,CA,10.434047905215627,6.689919522627754
CA-005-1,-74.01,45.82,http://geothermal.earth.lsa.umich.edu/DATA/CA-005-1.html,K. Wang,CA,10.625035956393656,6.599056062357062
CA-006-0,-72.25,48.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-006-0.html,K. Wang,CA,14.392747178841665,4.66771492593174
CA-008-0,-130.01,58.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-008-0.html,A.M. Jessop,CA,20.62410581908558,1.491356382121533
CA-010-0,-130.85,57.89,http://geothermal.earth.lsa.umich.edu/DATA/CA-010-0.html,A.M. Jessop,CA,32.54804381989161,1.4584699808778674
CA-0101,-94.07,48.85,http://geothermal.earth.lsa.umich.edu/DATA/CA-0101.html,J-C Mareschal,CA,6.59624792631491,5.058938503344112
CA-0102,-94.13,48.97,http://geothermal.earth.lsa.umich.edu/DATA/CA-0102.html,J-C Mareschal,CA,10.17608669949088,4.41282935389533
CA-0103,-93.8,49.37,http://geothermal.earth.lsa.umich.edu/DATA/CA-0103.html,J-C Mareschal,CA,7.974617370630758,4.949488668318459
CA-0104,-93.75,49.38,http://geothermal.earth.lsa.umich.edu/DATA/CA-0104.html,J-C Mareschal,CA,9.09563562135511,4.836228434681231
CA-0106,-94.15,48.94,http://geothermal.earth.lsa.umich.edu/DATA/CA-0106.html,J-C Mareschal,CA,9.532466495614248,4.477970506865773
CA-0107,-92.75,49.82,http://geothermal.earth.lsa.umich.edu/DATA/CA-0107.html,J-C Mareschal,CA,11.2772608717225,3.4838234889197226
CA-0108,-92.7,49.83,http://geothermal.earth.lsa.umich.edu/DATA/CA-0108.html,J-C Mareschal,CA,11.100361576107257,3.6264069133063677
CA-011-0,-80.94,49.1,http://geothermal.earth.lsa.umich.edu/DATA/CA-011-0.html,A.M. Jessop,CA,13.38489281546807,2.8883517538938293
CA-0110,-94.7,50.38,http://geothermal.earth.lsa.umich.edu/DATA/CA-0110.html,J-C Mareschal,CA,17.60288289177163,4.601030604171113
CA-0111,-94.71,50.39,http://geothermal.earth.lsa.umich.edu/DATA/CA-0111.html,J-C Mareschal,CA,17.075208786788483,4.616791835346033
CA-0112,-89.03,49.12,http://geothermal.earth.lsa.umich.edu/DATA/CA-0112.html,J-C Mareschal,CA,20.188049853372448,2.8670692815249286
CA-0114,-98.23,55.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-0114.html,J-C Mareschal,CA,9.032560855328763,4.851806084970053
CA-0115,-98.27,55.54,http://geothermal.earth.lsa.umich.edu/DATA/CA-0115.html,J-C Mareschal,CA,14.520687287848979,1.1590825758856007
CA-012-0,-82.38,49.42,http://geothermal.earth.lsa.umich.edu/DATA/CA-012-0.html,K. Wang,CA,9.600379825855509,3.3821988411637145
CA-013-0,-83.53,49.69,http://geothermal.earth.lsa.umich.edu/DATA/CA-013-0.html,K. Wang,CA,12.946824829802917,3.286348256695125
CA-013-1,-83.54,49.69,http://geothermal.earth.lsa.umich.edu/DATA/CA-013-1.html,K. Wang,CA,13.10198807966795,3.18209533138498
CA-014-0,-86.98,48.86,http://geothermal.earth.lsa.umich.edu/DATA/CA-014-0.html,K. Wang,CA,11.91990607460559,3.458008314508316
CA-015-0,-89.6,51.83,http://geothermal.earth.lsa.umich.edu/DATA/CA-015-0.html,K. Wang,CA,7.714819127507763,2.493836201399641
CA-015-1,-89.6,51.83,http://geothermal.earth.lsa.umich.edu/DATA/CA-015-1.html,K. Wang,CA,7.531026962607625,2.533547856229247
CA-016-0,-90.48,50.71,http://geothermal.earth.lsa.umich.edu/DATA/CA-016-0.html,K. Wang,CA,11.98666134954287,3.5982884268638493
CA-016-1,-90.48,50.71,http://geothermal.earth.lsa.umich.edu/DATA/CA-016-1.html,K. Wang,CA,12.03253853444239,3.5544709598947883
CA-017-0,-91.37,49.77,http://geothermal.earth.lsa.umich.edu/DATA/CA-017-0.html,K. Wang,CA,11.128988044413951,3.7204892991374985
CA-018-0,-66.0,43.76,http://geothermal.earth.lsa.umich.edu/DATA/CA-018-0.html,A.M. Jessop,CA,17.434058924774725,7.509869056056156
CA-018-1,-66.0,43.76,http://geothermal.earth.lsa.umich.edu/DATA/CA-018-1.html,K. Wang,CA,17.422916175291277,7.512044341714233
CA-0201,-89.14,50.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-0201.html,J-C Mareschal,CA,9.310455258412107,2.666513343351065
CA-0203,-93.85,51.14,http://geothermal.earth.lsa.umich.edu/DATA/CA-0203.html,J-C Mareschal,CA,8.684433579702283,4.1555618429896874
CA-0204,-92.08,49.48,http://geothermal.earth.lsa.umich.edu/DATA/CA-0204.html,J-C Mareschal,CA,9.63166662608787,4.042578031635244
CA-0209,-92.2,48.66,http://geothermal.earth.lsa.umich.edu/DATA/CA-0209.html,J-C Mareschal,CA,10.700821989029217,5.275219136915316
CA-0301,-91.37,49.06,http://geothermal.earth.lsa.umich.edu/DATA/CA-0301.html,J-C Mareschal,CA,10.290711060900296,3.790037659467554
