,Borehole,Longitude,Latitudes,Data,Data Contact,Country
0,CA-0001,-93.94,51.13,http://geothermal.earth.lsa.umich.edu/DATA/CA-0001.html,J-C Mareschal,CA
1,CA-0002,-93.86,51.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-0002.html,J-C Mareschal,CA
2,CA-0003,-93.17,50.96,http://geothermal.earth.lsa.umich.edu/DATA/CA-0003.html,J-C Mareschal,CA
3,CA-0004,-93.14,50.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-0004.html,J-C Mareschal,CA
4,CA-0005,-92.89,51.12,http://geothermal.earth.lsa.umich.edu/DATA/CA-0005.html,J-C Mareschal,CA
5,CA-0006,-91.11,49.97,http://geothermal.earth.lsa.umich.edu/DATA/CA-0006.html,J-C Mareschal,CA
6,CA-0007,-91.12,49.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-0007.html,J-C Mareschal,CA
7,CA-0008,-89.65,49.21,http://geothermal.earth.lsa.umich.edu/DATA/CA-0008.html,J-C Mareschal,CA
8,CA-0009,-89.65,49.22,http://geothermal.earth.lsa.umich.edu/DATA/CA-0009.html,J-C Mareschal,CA
9,CA-001-0,-75.72,45.40,http://geothermal.earth.lsa.umich.edu/DATA/CA-001-0.html,A.M. Jessop,CA
10,CA-0010,-89.49,48.29,http://geothermal.earth.lsa.umich.edu/DATA/CA-0010.html,J-C Mareschal,CA
11,CA-0011,-89.63,48.31,http://geothermal.earth.lsa.umich.edu/DATA/CA-0011.html,J-C Mareschal,CA
12,CA-0012,-85.90,49.17,http://geothermal.earth.lsa.umich.edu/DATA/CA-0012.html,J-C Mareschal,CA
13,CA-0013,-85.90,49.23,http://geothermal.earth.lsa.umich.edu/DATA/CA-0013.html,J-C Mareschal,CA
14,CA-0015,-98.26,55.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-0015.html,J-C Mareschal,CA
15,CA-0016,-97.64,56.01,http://geothermal.earth.lsa.umich.edu/DATA/CA-0016.html,J-C Mareschal,CA
16,CA-0017,-97.95,55.71,http://geothermal.earth.lsa.umich.edu/DATA/CA-0017.html,J-C Mareschal,CA
17,CA-0018,-101.11,56.94,http://geothermal.earth.lsa.umich.edu/DATA/CA-0018.html,J-C Mareschal,CA
18,CA-0019,-101.22,56.96,http://geothermal.earth.lsa.umich.edu/DATA/CA-0019.html,J-C Mareschal,CA
19,CA-002-0,-63.59,44.64,http://geothermal.earth.lsa.umich.edu/DATA/CA-002-0.html,K. Wang,CA
20,CA-0020,-98.16,55.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-0020.html,J-C Mareschal,CA
21,CA-0021,-98.27,55.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-0021.html,J-C Mareschal,CA
22,CA-0022,-98.26,55.57,http://geothermal.earth.lsa.umich.edu/DATA/CA-0022.html,J-C Mareschal,CA
23,CA-005-0,-74.02,45.82,http://geothermal.earth.lsa.umich.edu/DATA/CA-005-0.html,K. Wang,CA
24,CA-005-1,-74.01,45.82,http://geothermal.earth.lsa.umich.edu/DATA/CA-005-1.html,K. Wang,CA
25,CA-006-0,-72.25,48.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-006-0.html,K. Wang,CA
26,CA-008-0,-130.01,58.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-008-0.html,A.M. Jessop,CA
27,CA-010-0,-130.85,57.89,http://geothermal.earth.lsa.umich.edu/DATA/CA-010-0.html,A.M. Jessop,CA
28,CA-0101,-94.07,48.85,http://geothermal.earth.lsa.umich.edu/DATA/CA-0101.html,J-C Mareschal,CA
29,CA-0102,-94.13,48.97,http://geothermal.earth.lsa.umich.edu/DATA/CA-0102.html,J-C Mareschal,CA
30,CA-0103,-93.80,49.37,http://geothermal.earth.lsa.umich.edu/DATA/CA-0103.html,J-C Mareschal,CA
31,CA-0104,-93.75,49.38,http://geothermal.earth.lsa.umich.edu/DATA/CA-0104.html,J-C Mareschal,CA
